.id,X1,H_1,BF,runnum,variable
beta,1,par > 0,Inf,1,M_i_S
beta,2,par > 0,Inf,1,D_i_S
beta,3,par < 0,3.032258064516129,1,sigma_C_S
beta,4,par < 0,3.373177842565598,1,sigma_H_S
beta,5,par < 0,Inf,1,M_i_D
beta,6,par > 0,58.999999999999815,1,D_i_D
beta,7,par < 0,26.272727272727273,1,sigma_C_D
beta,8,par > 0,3.6583850931677016,1,sigma_H_D
beta,1,par > 0,Inf,2,M_i_S
beta,2,par > 0,Inf,2,D_i_S
beta,3,par < 0,5.578947368421052,2,sigma_C_S
beta,4,par > 0,1.0491803278688525,2,sigma_H_S
beta,5,par < 0,Inf,2,M_i_D
beta,6,par > 0,Inf,2,D_i_D
beta,7,par < 0,10.278195488721805,2,sigma_C_D
beta,8,par > 0,4.769230769230769,2,sigma_H_D
beta,1,par > 0,Inf,3,M_i_S
beta,2,par > 0,148.99999999999903,3,D_i_S
beta,3,par < 0,4.88235294117647,3,sigma_C_S
beta,4,par > 0,8.036144578313252,3,sigma_H_S
beta,5,par < 0,3.559270516717325,3,M_i_D
beta,6,par > 0,17.749999999999996,3,D_i_D
beta,7,par > 0,1.192982456140351,3,sigma_C_D
beta,8,par > 0,2.9267015706806276,3,sigma_H_D
beta,1,par > 0,Inf,4,M_i_S
beta,2,par > 0,248.99999999999977,4,D_i_S
beta,3,par < 0,5.024096385542168,4,sigma_C_S
beta,4,par > 0,7.982035928143716,4,sigma_H_S
beta,5,par < 0,7.982035928143713,4,M_i_D
beta,6,par > 0,749.0000000000201,4,D_i_D
beta,7,par > 0,1.8901734104046244,4,sigma_C_D
beta,8,par > 0,1.9239766081871348,4,sigma_H_D
beta,1,par > 0,Inf,5,FRS
beta,2,par > 0,248.99999999999977,5,D_i_S
beta,3,par < 0,5.024096385542168,5,sigma_C_S
beta,4,par > 0,7.982035928143716,5,sigma_H_S
beta,5,par < 0,7.982035928143713,5,D_i_D
beta,6,par > 0,749.0000000000201,5,sigma_C_D
beta,7,par > 0,1.8901734104046244,5,sigma_H_D
beta,1,par > 0,Inf,6,FRS
beta,2,par > 0,Inf,6,D_i_S
beta,3,par > 0,1.3112480739599386,6,sigma_C_S
beta,4,par > 0,29.612244897959226,6,sigma_H_S
beta,5,par > 0,Inf,6,D_i_D
beta,6,par > 0,9.135135135135133,6,sigma_C_D
beta,7,par > 0,3.411764705882353,6,sigma_H_D
beta,1,par > 0,Inf,7,FRS
beta,2,par > 0,Inf,7,D_i_S
beta,3,par < 0,1.2288261515601784,7,sigma_C_S
beta,4,par > 0,25.315789473684188,7,sigma_H_S
beta,5,par > 0,213.2857142857124,7,D_i_D
beta,6,par > 0,3.3227665706051885,7,sigma_C_D
beta,7,par > 0,4.5762081784386615,7,sigma_H_D
beta,1,par > 0,Inf,8,FRS
beta,2,par > 0,Inf,8,D_i_S
beta,3,par > 0,1.2796352583586628,8,sigma_C_S
beta,4,par > 0,15.853932584269659,8,sigma_H_S
beta,5,par > 0,Inf,8,D_i_D
beta,6,par > 0,9.489510489510485,8,sigma_C_D
beta,7,par > 0,3.4378698224852062,8,sigma_H_D
